endToEndDelay:vector NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp2DropTailWithPolicingAndShaping-0-20210404-00:58:16-71548),
401.254683356389,35.98183874000000045
402.97982007675,2.626975460360999815
407.263183356389,36.59033873999999267
408.807683356389,36.21483873999999032
409.69282007675,8.45997546036099731
411.551183356389,33.31833874000000142
413.43782007675,11.64497546036099957
414.24032007675,12.32747546036100057
415.132183356389,33.53933873999999082
416.11282007675,13.91997546036099813
420.46132007675,17.78847546036099907
422.10382007675,19.19097546036099538
424.153683356389,32.1608387400000025
424.956183356389,32.16333874000000027
425.84882007675,22.3759754603609976
431.860683356389,33.38783873999999217
433.034183356389,34.00133873999999415
435.302683356389,24.0298387399999952
436.66832007675,29.07547546036099805
438.063683356389,26.03083874
439.01532007675,30.34247546036100107
440.203683356389,27.57083873999999915
441.851683356389,28.89883873999999495
443.41882007675,32.34597546036098937
446.798183356389,31.2053387399999947
447.868183356389,31.1953387399999967
449.619683356389,30.90683873999999757
450.689683356389,31.33683873999999732
452.398183356389,32.08533873999999727
453.200683356389,32.40783874000000242
454.270683356389,32.95783873999999962
455.176683356389,32.78383873999999295
455.979183356389,33.30633874000000095
457.584183356389,34.19133873999999187
458.654183356389,34.7413387400000032
459.827683356389,34.9548387399999994
460.630183356389,34.95733873999999717
461.700183356389,34.90733874
463.305183356389,35.59233874000000225
464.412683356389,35.6198387399999915
465.215183356389,35.94233873999999657
466.121183356389,36.28833874000000025
467.398183356389,36.4453387399999967
468.200683356389,36.567838739999999
469.805683356389,37.81283873999998937
470.711683356389,38.07883873999999462
471.781683356389,37.94883873999999925
473.326183356389,37.4533387399999922
475.181183356389,36.34833874000000242
475.983683356389,36.35083874000000025
477.856183356389,36.30333874000000077
478.658683356389,36.46583873999999507
479.461183356389,36.46833873999999282
481.273183356389,35.92033873999999102
483.188694976389,34.9958503599999914
484.793683356389,35.88083874000000137
485.596183356389,36.28333873999999055
486.666183356389,36.0733387399999968
487.468683356389,36.35583873999999567
488.271183356389,36.55833873999999625
490.530357815195,36.65751319880600065
491.317183356389,37.20433873999999695
492.387183356389,37.3543387400000027
493.189683356389,37.35683874000000045
495.062183356389,37.98933873999999365
495.902183356389,38.1893387399999965
497.075683356389,38.24283873999999612
498.249183356389,37.77633873999999975
500.227193131897,38.47434851550799787
501.295183356389,38.34233874000000225
502.097683356389,38.34483874
503.167683356389,38.57483873999998975
503.970183356389,38.57733874000000165
505.842683356389,38.72983873999999087
508.270183356389,36.91733873999999087
509.918183356389,36.12533873999998937
511.790683356389,36.23783874000000065
512.593183356389,35.96033873999999727
513.395683356389,35.962838739999995
514.301683356389,35.58883873999999975
516.174183356389,35.98133873999999805
516.976683356389,36.38383874000000145
517.779183356389,36.54633873999999577
518.849183356389,36.97633874000000257
519.651683356389,37.09883873999999067
521.524183356389,37.85133874000000257
523.172183356389,36.9793387400000027
523.974683356389,36.90183874000000217
524.777183356389,37.14433873999999475
526.899683356389,35.50683873999999192
529.022183356389,33.7893387399999908
536.33557007675,5.78272546036100008
537.317183356389,33.84433873999999757
539.293183356389,34.30033874000000065
540.34807007675,9.195225460360997935
541.165683356389,34.8928387400000018
542.22057007675,10.78772546036099906
543.82557007675,12.15272546036099747
544.887683356389,35.614838739999996
545.690183356389,35.69733873999999205
546.492683356389,35.5798387399999994
547.666183356389,35.47333874000000245
555.38157007675,22.38872546036100168
557.107183356389,33.27433873999999027
558.177183356389,33.58433873999999252
559.58357007675,25.95072546036099925
560.627683356389,33.43483873999998925
562.500183356389,33.90733874000000002
563.53557007675,27.782725460361
564.372683356389,34.81983873999999437
565.306183356389,23.95333873999999945
567.38407007675,29.63122546036100132
568.92857007675,30.2157254603609998
