packetReceived:vector(packetBytes) NetworkWithShapingAndPolicing.H2.app[1] (#0 - Exp3RoundRobinWithPolicingAndShaping-0-20210404-00:58:48-71596),
722.056183356389,500
722.858683356389,500
724.196183356389,500
726.604183356389,500
727.464858710574,500
728.476683356389,500
730.081683356389,500
731.151683356389,500
732.012358710574,500
733.024183356389,500
733.826683356389,500
735.966683356389,500
738.376683356389,500
740.249183356389,500
741.316108710574,500
743.153608710574,500
745.026108710574,500
745.828608710574,500
746.631108710574,500
747.701108710574,500
750.108608710574,500
751.178608710574,500
753.818608710574,500
754.696683356389,500
755.691108710574,500
756.493608710574,500
758.366108710574,500
759.168608710574,500
760.046683356389,500
761.662183356389,500
763.448608710574,500
765.674683356389,500
766.659108710574,500
767.461608710574,500
769.334108710574,500
770.136608710574,500
771.206608710574,500
772.009108710574,500
773.881608710574,500
774.951608710574,500
778.143683356389,500
779.748683356389,500
780.818683356389,500
781.621183356389,500
782.691183356389,500
783.493683356389,500
785.366183356389,500
786.168683356389,500
789.076183356389,500
789.878683356389,500
791.751183356389,500
792.821183356389,500
793.623683356389,500
794.693683356389,500
795.496183356389,500
797.114108710574,500
798.171183356389,500
801.916683356389,500
802.719183356389,500
804.591683356389,500
805.394183356389,500
806.196683356389,500
807.266683356389,500
808.069183356389,500
809.69779437,500
813.40779437,500
815.01279437,500
816.08279437,500
816.88529437,500
817.68779437,500
818.75779437,500
819.56029437,500
821.43279437,500
825.18029437,500
826.25029437,500
827.85529437,500
828.92529437,500
830.811419491375,500
831.60029437,500
832.67029437,500
834.27529437,500
836.95279437,500
838.55779437,500
839.62779437,500
840.43029437,500
841.50029437,500
842.30279437,500
844.17529437,500
844.97780599,500
845.78029437,500
846.58279437,500
848.99279437,500
849.79529437,500
851.66779437,500
852.47029437,500
853.54029437,500
854.34279437,500
855.14529437,500
857.01779437,500
857.82029437,500
858.62279437,500
860.46029437,500
861.53029437,500
863.40279437,500
864.20529437,500
865.00779437,500
866.07779437,500
866.88029437,500
867.68279437,500
869.55529437,500
870.35779437,500
872.46279437,500
873.26529437,500
874.87029437,500
875.94029437,500
876.74279437,500
877.54529437,500
878.61529437,500
880.227193131897,500
881.29029437,500
882.09279437,500
883.93029437,500
885.00029437,500
885.80279437,500
889.01279437,500
889.883933356389,500
891.756433356389,500
892.75779437,500
893.56029437,500
895.768933356389,500
897.53779437,500
898.443933356389,500
900.74779437,500
902.62029437,500
903.42279437,500
904.22529437,500
905.096433356389,500
907.43779437,500
908.24029437,500
910.11279437,500
912.319433356389,500
913.32279437,500
914.92779437,500
915.796933356389,500
920.227193131897,500
921.554566866788,500
924.091933356389,500
925.032066866788,500
925.834566866788,500
927.707066866788,500
928.509566866788,500
929.441933356389,500
931.417066866788,500
932.384433356389,500
934.092066866788,500
935.964566866788,500
936.767066866788,500
938.529433356389,500
939.442066866788,500
940.401933356389,500
941.314566866788,500
943.457066866788,500
945.597066866788,500
946.399566866788,500
947.202066866788,500
948.272066866788,500
949.074566866788,500
949.877066866788,500
951.749566866788,500
952.552066866788,500
955.227566866788,500
956.832566866788,500
957.635066866788,500
958.705066866788,500
959.507566866788,500
961.34307007675,500
963.18057007675,500
964.055066866788,500
966.65807007675,500
968.335566866788,500
969.33307007675,500
970.13557007675,500
971.20557007675,500
972.00807007675,500
974.488066866788,500
976.25307007675,500
978.39307007675,500
979.305566866788,500
980.26557007675,500
982.13807007675,500
982.94057007675,500
983.853066866788,500
986.260566866788,500
987.22307007675,500
990.265566866788,500
991.23557007675,500
992.138066866788,500
993.91057007675,500
994.71307007675,500
995.615566866788,500
998.21907007675,500
999.895566866788,500
1001.96407007675,500
1002.76657007675,500
1004.63907007675,500
1005.44157007675,500
1006.318066866788,500
1007.31407007675,500
1008.11657007675,500
1009.67907007675,500
1010.598066866788,500
1011.668066866788,500
1014.104066866788,500
1015.709066866788,500
1016.779066866788,500
1017.581566866788,500
1018.384066866788,500
1019.454066866788,500
1021.326566866788,500
1023.44807007675,500
1025.635066866788,500
1026.65807007675,500
1028.53057007675,500
1029.33307007675,500
1030.13557007675,500
1031.20557007675,500
1032.27557007675,500
1034.64807007675,500
1037.405566866788,500
1038.208066866788,500
1039.46307007675,500
1040.53307007675,500
1042.40557007675,500
1043.20807007675,500
1044.093066866788,500
1046.41057007675,500
1049.08557007675,500
1049.970566866788,500
1050.95807007675,500
1052.83057007675,500
1053.63307007675,500
1059.721338389152,500
1060.530357815195,500
1061.65057007675,500
1062.663838389152,500
1064.32557007675,500
1065.338838389152,500
1066.141338389152,500
1067.00057007675,500
1068.013838389152,500
1069.67807007675,500
1071.723838389152,500
1072.62057007675,500
1074.398838389152,500
1075.29557007675,500
1076.271338389152,500
1077.16807007675,500
1077.97057007675,500
1083.494338389152,500
1084.296838389152,500
1086.169350009152,500
1086.971838389152,500
1087.774338389152,500
1088.844338389152,500
1090.449338389152,500
1091.519338389152,500
1092.589338389152,500
1094.999338389152,500
1095.801838389152,500
1097.674338389152,500
1098.744338389152,500
1099.546838389152,500
1100.349338389152,500
1101.419338389152,500
1103.291838389152,500
1104.094338389152,500
1104.896838389152,500
1106.769838389152,500
1107.839838389152,500
1108.642338389152,500
1110.247338389152,500
1111.317338389152,500
1112.387338389152,500
1113.189838389152,500
1113.992338389152,500
1115.062338389152,500
1116.667338389152,500
1118.807838389152,500
1119.610338389152,500
1121.482838389152,500
1122.285338389152,500
1123.355338389152,500
1124.157838389152,500
1126.030338389152,500
1126.832838389152,500
1127.635338389152,500
1130.310838389152,500
1131.380838389152,500
1133.253338389152,500
1135.660838389152,500
1136.463338389152,500
1137.265838389152,500
1139.138338389152,500
1139.940838389152,500
1142.081338389152,500
1142.883838389152,500
1144.488838389152,500
1147.153683356389,500
1149.026183356389,500
1149.828683356389,500
1150.631183356389,500
1151.701183356389,500
1153.439838389152,500
1154.376183356389,500
1155.312338389152,500
1157.051183356389,500
1160.530357815195,500
1161.599183356389,500
1163.588683356389,500
1164.391183356389,500
1165.344183356389,500
1166.146683356389,500
1167.066183356389,500
1168.019183356389,500
1172.301683356389,500
1173.104183356389,500
1174.788683356389,500
1175.779183356389,500
1176.581683356389,500
1177.463683356389,500
1178.454183356389,500
1180.059183356389,500
1184.074183356389,500
1184.876683356389,500
1185.756683356389,500
1188.966683356389,500
1189.769183356389,500
1190.571683356389,500
1191.641683356389,500
1193.514183356389,500
1195.656683356389,500
1196.459183356389,500
1197.529183356389,500
1199.134183356389,500
1199.936683356389,500
1201.006683356389,500
1201.809183356389,500
1202.879183356389,500
1204.484183356389,500
1205.554183356389,500
1207.427194976389,500
1208.229683356389,500
1209.834683356389,500
1210.904683356389,500
1211.707183356389,500
1212.777183356389,500
1214.382183356389,500
1215.452183356389,500
1216.254683356389,500
1217.057183356389,500
1219.197683356389,500
1220.267683356389,500
1222.140183356389,500
1222.942683356389,500
1223.745183356389,500
1224.815183356389,500
1225.617683356389,500
1227.490183356389,500
1228.292683356389,500
1229.095183356389,500
